host,hour,request_count,unique_urls,avg_bytes,total_bytes,error_rate,status_404,status_500,status_200,post_rate,get_rate,url_diversity,bytes_per_req,error_to_ok_ratio,max_bytes,large_req_count,anomaly_score,is_anomaly,label
unotv.unomaha.edu,1995-07-25 15:00:00+00:00,60,45,1222.2833333333333,73337,0.5166666666666667,31,0,20,0.0,1.0,0.75,1222.2833333333333,1.55,16979,0,-0.16157888061811898,-1,ANOMALY
204.126.174.200,1995-07-05 03:00:00+00:00,99,73,20732.656565656565,2052533,0.04040404040404041,4,0,95,0.0,1.0,0.7373737373737373,20732.656565656565,0.042105263157894736,297851,12,-0.1612648399633636,-1,ANOMALY
port27.fishnet.net,1995-07-17 01:00:00+00:00,100,100,73674.35,7367435,0.0,0,0,100,0.0,1.0,1.0,73674.35,0.0,304560,31,-0.16119659202633363,-1,ANOMALY
philc-ws.ncms.org,1995-07-18 19:00:00+00:00,110,93,35032.40909090909,3853565,0.00909090909090909,1,0,108,0.0,1.0,0.8454545454545455,35032.40909090909,0.009259259259259259,164056,40,-0.16103916392837103,-1,ANOMALY
alyssa.prodigy.com,1995-07-10 01:00:00+00:00,94,48,26757.5,2515205,0.031914893617021274,3,0,90,0.0,1.0,0.5106382978723404,26757.5,0.03333333333333333,887988,4,-0.1610344004128943,-1,ANOMALY
orlfl2-5.gate.net,1995-07-06 05:00:00+00:00,57,34,905.3508771929825,51605,0.5087719298245614,29,0,13,0.0,1.0,0.5964912280701754,905.3508771929825,2.230769230769231,17314,0,-0.16101862160647096,-1,ANOMALY
ns.mte.com,1995-07-19 21:00:00+00:00,29,26,121557.93103448275,3525180,0.10344827586206896,3,0,26,0.0,1.0,0.896551724137931,121557.93103448275,0.11538461538461539,1121554,7,-0.1609063641601144,-1,ANOMALY
jamesaid.mindspring.com,1995-07-26 06:00:00+00:00,8,6,571944.375,4575555,0.0,0,0,8,0.0,1.0,0.75,571944.375,0.0,1082916,7,-0.1609022633728303,-1,ANOMALY
cs4p14.ipswichcity.qld.gov.au,1995-07-02 10:00:00+00:00,2,2,1078852.0,2157704,0.0,0,0,2,0.0,1.0,1.0,1078852.0,0.0,1269716,2,-0.16080641714235222,-1,ANOMALY
ms3.math.ucalgary.ca,1995-07-15 01:00:00+00:00,98,89,24381.34693877551,2389372,0.04081632653061224,4,0,94,0.0,1.0,0.9081632653061225,24381.34693877551,0.0425531914893617,283389,13,-0.1607184772219593,-1,ANOMALY
128.159.122.64,1995-07-21 15:00:00+00:00,7,2,0.0,0,1.0,7,0,0,0.0,1.0,0.2857142857142857,0.0,7.0,0,0,-0.16060200826646565,-1,ANOMALY
